feature,importance
incident_type,397
claim_amount,368
claim_report_delay_hours,354
claim_to_vehicle_ratio,339
claim_to_premium_ratio,312
claim_per_policy_month,272
severe_incident,200
policy_tenure_months,166
deductible_to_claim_ratio,161
police_report_filed,153
witness_count,149
vehicle_value,145
avg_claim_amount_history,142
frequent_claimer,133
incident_hour,128
age,124
claim_frequency,121
months_since_last_claim,121
total_claim_amount_history,116
bodily_injury_claim,116
vehicle_depreciation_rate,114
evidence_score,111
policy_annual_premium,110
suspicious_timing,106
unknown_repair_shop,100
strong_evidence,97
repair_estimate_provided,95
claim_velocity,83
repair_shop_type,76
suspicious_timing_no_witness,75
policy_coverage_type,65
injury_severity_score,65
no_evidence,62
photos_provided,59
occupation,57
incident_severity,54
incident_day_of_week,53
night_incident,52
incident_location,51
number_of_previous_claims,47
vehicle_age,46
marital_status,44
tow_service_used,43
vehicle_category,41
delayed_reporting,41
over_insured,40
no_estimate,36
high_value_claim,32
new_policy_high_claim,17
weekend_incident,17
policy_deductible,15
bodily_injury_severe,15
single_policyholder,14
high_claim_no_evidence,14
gender,12
young_driver,8
new_policy_frequent_claimer,5
high_value_vehicle,5
old_vehicle,4
senior_driver,2
under_deductible,0
