claim_id,policy_id,age,gender,marital_status,occupation,policy_tenure_months,policy_annual_premium,policy_coverage_type,policy_deductible,vehicle_age,vehicle_value,vehicle_category,claim_amount,incident_type,incident_severity,incident_location,police_report_filed,witness_count,photos_provided,tow_service_used,incident_hour,incident_day_of_week,claim_report_delay_hours,number_of_previous_claims,months_since_last_claim,total_claim_amount_history,bodily_injury_claim,injury_severity_score,repair_shop_type,repair_estimate_provided,fraud_probability,is_fraud
CLM0000000,POL000861,65,F,Married,Skilled,4,2205.756026858635,Standard,1000,8,19716.37058444819,Sedan,28938.62106871286,Collision,Moderate,Suburban,1,0,1,0,8,1,13.173370060468965,1,47.97509569506113,14818.046692467213,1,4,Independent,1,0.7780705316166152,1
CLM0000001,POL003773,31,F,Married,Professional,4,625.3614888353935,Comprehensive,2500,2,31339.511419715975,Sedan,3908.334886778089,Hit and Run,Minor,Urban,1,1,1,0,15,0,3.5337721690615194,1,20.13277172369355,5288.265561925464,0,7,Independent,1,0.334046226248114,0
CLM0000002,POL003093,68,F,Divorced,Business,60,1429.3605806686394,Standard,500,6,24769.47472453952,Sedan,7240.80039752928,Hit and Run,Moderate,Suburban,0,2,1,0,20,6,1.6010748910998458,0,9.7653380000001,33200.26502022923,0,1,Authorized,1,0.3243342571058495,0
CLM0000003,POL000467,57,F,Married,Retired,35,1230.681734148253,Premium,500,3,17064.00449908128,Sedan,2981.8176079988534,Natural Disaster,Major,Suburban,1,0,1,1,12,4,0.6533222771985728,0,10.631920715639566,20660.55705663443,1,8,Unknown,1,0.3641183009733393,0
CLM0000004,POL004427,37,F,Married,Professional,25,679.5083008363279,Standard,2500,12,46847.28728737223,Luxury,9030.369323648107,Fire,Minor,Suburban,1,1,1,0,8,5,26.520273918960314,0,0.17629553775265386,10311.346874901228,0,5,Authorized,1,0.4902061384485782,0
CLM0000005,POL003445,18,M,Married,Business,59,561.9473911151645,Standard,1000,2,32721.713797007604,SUV,20122.50393387815,Hit and Run,Moderate,Urban,0,1,1,0,2,5,1.485044059317202,2,3.8616477775606644,21349.298245490543,0,0,Independent,1,0.6739290395579208,0
CLM0000006,POL003172,18,M,Married,Skilled,23,1405.2711650240249,Standard,2500,7,76654.50167653346,Sedan,1327.4217214365763,Collision,Moderate,Rural,0,2,1,0,9,3,6.219789069979932,0,36.939626315960666,9887.577280361447,0,4,Authorized,0,0.08670108791960765,0
CLM0000007,POL002920,31,M,Married,Professional,4,1595.907373923496,Standard,2500,5,20245.774174668564,Sedan,3873.976576788358,Theft,Major,Suburban,1,1,1,1,2,0,6.473503744852721,1,2.1693597898938224,5918.025273665328,1,3,Independent,0,0.38463721179326293,0
CLM0000008,POL000131,54,M,Married,Skilled,14,1191.297872682777,Comprehensive,250,10,25202.263682346573,SUV,9179.823343748709,Collision,Minor,Urban,0,0,1,1,1,0,11.416306458958832,0,6.218451818747111,1352.690178815155,1,4,Unknown,1,0.6053668232822759,0
CLM0000009,POL001686,54,M,Married,Business,4,862.3913984027928,Premium,1000,13,22721.107173953205,SUV,31920.757500360556,Collision,Moderate,Suburban,1,0,1,0,6,4,41.371719696909246,2,11.308134174531283,6723.202399513163,0,9,Authorized,1,0.8048875378563507,1
CLM0000010,POL000770,34,M,Single,Professional,36,588.7143178163024,Comprehensive,2500,15,34316.452095492896,SUV,9573.353880371838,Theft,Major,Suburban,0,1,0,0,17,0,2.474789277951767,1,110.61037822660005,8660.41799120036,0,9,Unknown,1,0.708123089813648,0
CLM0000011,POL002392,38,F,Single,Student,14,1751.3353011839417,Standard,1000,6,28666.964632313757,Sedan,2991.7168984474783,Collision,Minor,Suburban,1,3,0,1,2,5,41.3673528271658,1,22.641748501605292,18068.807028197134,1,0,Unknown,1,0.29380660191137276,0
CLM0000012,POL002434,41,F,Single,Professional,96,354.6676860829459,Standard,1000,2,9206.882488121502,Sedan,6344.044127274356,Collision,Major,Suburban,1,3,1,0,9,2,7.116734932429385,2,16.77343407875848,1743.263643198633,0,4,Unknown,1,0.584016893432524,0
CLM0000013,POL001185,38,F,Married,Business,15,344.6650654316943,Premium,500,0,24239.72535979447,Sports,7525.260957417516,Vandalism,Minor,Urban,1,2,1,0,9,2,28.84043585110812,2,31.085072444855967,5376.240350344065,1,9,Authorized,1,0.34479416265310736,0
CLM0000014,POL004556,44,M,Single,Professional,9,428.30397614938585,Comprehensive,500,1,24501.40415317348,Truck,42164.57825095781,Collision,Moderate,Rural,0,0,1,0,1,6,2.3185273410883713,0,35.21892639422855,14244.672602958035,1,8,Authorized,0,0.7871898043744517,1
CLM0000015,POL003386,41,F,Married,Business,34,474.86025678498845,Comprehensive,2500,1,28593.657078712076,Sedan,3407.278307533814,Theft,Minor,Urban,1,4,1,0,21,1,2.512620181040351,0,8.8125981317428,10592.787769712491,0,7,Independent,1,0.46781051641065907,0
CLM0000016,POL004118,18,M,Single,Business,7,471.12582753140623,Basic,1000,1,18721.369790488647,Luxury,8344.328773784242,Theft,Minor,Urban,1,1,1,0,15,6,4.417526241279136,2,21.71342566364225,10762.442209703868,0,8,Authorized,1,0.48116310705644794,0
CLM0000017,POL004844,38,M,Married,Business,5,904.3076188648866,Comprehensive,2500,16,15995.158280347076,Luxury,22356.02411775184,Hit and Run,Minor,Urban,1,0,1,1,12,1,31.45979728123385,1,6.388319780366475,2297.209431897515,1,3,Unknown,0,1.0,1
CLM0000018,POL002905,41,M,Single,Skilled,26,388.44802498330455,Standard,250,4,30106.72505527404,SUV,3149.016084591492,Hit and Run,Minor,Urban,1,1,1,1,3,5,8.720341863874149,1,23.774948926032376,12463.90229233251,0,7,Authorized,1,0.3448459388535172,0
CLM0000019,POL000475,57,F,Married,Skilled,22,1848.065023673757,Premium,500,3,18593.985656428344,Sedan,7960.559490195007,Theft,Total Loss,Highway,0,1,1,0,23,2,23.80791771929091,4,19.72242012936844,4434.985543671331,1,6,Unknown,1,0.8988741005293017,1
CLM0000020,POL001083,28,F,Divorced,Skilled,8,1259.4889946343883,Basic,500,1,33518.674062489175,Sedan,16118.859449076248,Vandalism,Minor,Rural,1,2,0,0,17,3,18.10365849008359,1,58.75705566008361,10790.328191237795,0,6,Independent,1,0.34288579253840723,0
CLM0000021,POL002559,45,M,Married,Skilled,7,1933.6737999525649,Basic,1000,4,14953.15345802691,Sports,3865.765628430033,Collision,Moderate,Rural,1,0,0,0,20,4,39.609143304036394,0,23.308574351593876,21544.7176546533,0,4,Independent,1,0.17828618578395783,0
CLM0000022,POL002048,51,F,Married,Student,28,1418.7203960126626,Standard,500,25,15392.477754761192,Sedan,5791.569707723537,Fire,Moderate,Rural,1,0,1,0,0,5,10.35155478372644,1,113.0263541927373,8083.790924782973,1,9,Independent,1,0.39146105914075874,0
CLM0000023,POL002748,39,F,Married,Retired,50,1195.9270300626831,Standard,1000,1,21572.6734593787,Sports,4616.702035758896,Natural Disaster,Minor,Highway,0,1,1,1,22,4,24.032286188276657,0,88.27646508486745,8949.806564647024,0,1,Authorized,1,0.1356525358086763,0
CLM0000024,POL000976,18,M,Single,Skilled,21,1860.5703334210589,Premium,1000,2,54032.1134856441,Sports,21399.818602030184,Collision,Minor,Rural,1,4,1,1,1,6,0.6268651921071728,3,2.310885115674727,17372.181647964248,0,7,Authorized,1,0.39771079089513245,0
CLM0000025,POL001807,58,F,Single,Retired,23,686.4476348244536,Comprehensive,250,8,16731.54531896574,Sedan,12238.547014445354,Theft,Minor,Highway,1,0,0,1,9,6,96.86088693672943,2,9.74241831170334,1699.1761193679215,0,3,Independent,1,0.7428061308057743,1
CLM0000026,POL000190,53,F,Single,Skilled,23,659.0763080026787,Comprehensive,250,15,25894.735167637275,Sedan,1757.7429599366678,Collision,Minor,Suburban,1,0,1,0,9,0,15.14585384995118,1,12.66153322170285,6343.984941926545,0,7,Authorized,0,0.1563254224703673,0
CLM0000027,POL002735,45,M,Single,Student,29,2132.369946374526,Basic,500,4,24582.55190548955,SUV,4054.040757114438,Natural Disaster,Minor,Highway,1,0,1,0,12,5,1.5963805567159126,0,66.37149663844923,9383.258860741516,1,0,Authorized,0,0.285703463887936,0
CLM0000028,POL003006,42,M,Single,Skilled,10,1071.0962727349556,Premium,2500,8,31517.847308320936,Sedan,6939.7933699610885,Vandalism,Minor,Urban,0,0,0,1,20,6,15.622798899040669,0,6.154327989483914,32621.575395288,1,3,Authorized,1,0.48273183516021556,0
CLM0000029,POL004659,18,F,Married,Student,28,868.8471910470696,Premium,250,0,10545.945157319327,Sedan,12253.408320505136,Natural Disaster,Minor,Suburban,0,3,1,1,3,5,39.95371002181334,0,17.019318766378284,7764.3313878107865,0,4,Unknown,1,0.7588053375375415,1
CLM0000030,POL001900,54,F,Single,Business,55,2099.8397400762797,Premium,500,6,62352.0778339863,Sedan,8606.191279399503,Natural Disaster,Moderate,Suburban,1,1,0,1,10,0,9.599304378261806,1,5.945790709717979,7002.814450992434,0,6,Authorized,1,0.10932092287239671,0
CLM0000031,POL001268,65,F,Divorced,Skilled,23,833.8669270802427,Standard,250,0,45101.23612477819,SUV,3361.779126413578,Collision,Minor,Rural,1,3,0,1,7,1,3.4961864934378473,0,20.760702672365746,16386.703790352127,1,1,Authorized,0,0.10967208300728562,0
CLM0000032,POL001529,24,M,Divorced,Skilled,40,1034.5501226976885,Standard,500,25,14870.245363837494,SUV,5351.617533189949,Natural Disaster,Moderate,Rural,0,0,1,1,19,5,4.773270979947063,0,25.701532131537608,8214.270932114367,1,8,Independent,1,0.4517731043897493,0
CLM0000033,POL003203,63,M,Widowed,Student,66,575.5068835004914,Premium,1000,4,13522.383778026926,SUV,14418.099173431401,Natural Disaster,Minor,Urban,1,2,1,1,14,3,19.795778752346457,1,57.98758567201432,3258.660680172575,1,3,Independent,0,0.6320237735610821,0
CLM0000034,POL003557,60,M,Single,Retired,41,841.3898252540781,Standard,2500,1,43797.799680940814,Sports,7132.786212983644,Collision,Major,Rural,1,0,0,0,14,0,0.5050858934039226,3,19.011174489159167,12292.979189601709,1,9,Independent,1,0.5104243085601162,0
CLM0000035,POL003891,23,F,Divorced,Professional,49,300.0,Basic,250,11,47916.5027431371,Truck,12469.836381342417,Theft,Moderate,Urban,1,0,1,1,4,3,46.36744897167612,1,0.19527770119955107,17901.630449701737,1,6,Unknown,1,0.6816342321486997,0
CLM0000036,POL000647,35,F,Divorced,Skilled,46,3636.12512189748,Premium,500,7,22457.141139829684,Sedan,3246.4879362629076,Collision,Moderate,Rural,1,0,1,1,19,6,25.291990038528503,1,16.99144802650774,6663.660557852486,0,8,Unknown,0,0.23862290356518018,0
CLM0000037,POL002889,19,M,Divorced,Professional,44,710.0008597713794,Basic,250,2,6696.205069708272,SUV,21502.03161577223,Hit and Run,Moderate,Rural,1,1,1,0,10,2,10.53226666921662,1,25.255646364424976,11357.938048673897,0,6,Independent,1,0.5209491167812818,0
CLM0000038,POL002436,40,M,Married,Professional,10,958.4451573052298,Basic,500,0,49026.55221421862,Truck,10966.116502771503,Theft,Minor,Suburban,0,2,1,1,0,5,0.5522287645727529,2,1.6023346473230071,1681.9197726928767,0,4,Independent,0,0.6620893084507198,0
CLM0000039,POL000601,49,M,Married,Retired,47,1562.423714927097,Standard,500,6,39769.726085990216,SUV,14833.045757713506,Hit and Run,Major,Urban,1,1,1,0,13,3,1.4966057670557633,4,9.818310203280499,7526.20018173522,0,2,Independent,1,0.4296910274553308,0
CLM0000040,POL002364,20,F,Single,Skilled,21,1405.8673884985674,Comprehensive,250,6,7954.2460706343345,Sedan,18576.097747746135,Hit and Run,Major,Urban,1,4,1,1,12,0,24.996104422222963,0,11.581516605980784,14963.908730769184,0,7,Authorized,1,0.4788334670374794,0
CLM0000041,POL002062,48,F,Single,Business,35,828.0206277920108,Comprehensive,1000,2,26893.123010000163,Luxury,8395.772603011208,Vandalism,Moderate,Rural,1,2,1,1,7,6,15.753002723938746,3,23.23317513711678,7796.762980707461,1,2,Authorized,1,0.297873131605877,0
CLM0000042,POL000242,52,F,Single,Skilled,25,2733.357815397469,Basic,500,6,20056.78593374513,Luxury,9244.834424842666,Vandalism,Major,Rural,1,0,1,1,14,1,54.02119463280626,1,8.638941177799984,4513.911642338858,0,6,Authorized,0,0.231429236171763,0
CLM0000043,POL002042,52,F,Divorced,Skilled,64,718.7413280069533,Standard,2500,1,40585.954168031756,Truck,18079.14873134318,Hit and Run,Minor,Urban,0,1,1,0,14,0,3.2507914127032347,2,41.70538277251387,15312.864121100947,0,6,Independent,1,0.2801055823434533,0
CLM0000044,POL002825,49,M,Single,Business,38,1916.5549755521686,Comprehensive,500,15,35822.20002060432,Sedan,3906.539776632727,Hit and Run,Minor,Suburban,1,1,1,1,7,4,45.58572772224203,3,29.60723611832825,3548.9333497230596,0,9,Authorized,1,0.1430081979070688,0
CLM0000045,POL002613,22,F,Single,Professional,39,1498.4074810215252,Comprehensive,1000,2,59468.04410204385,Sedan,10114.870897180786,Natural Disaster,Minor,Highway,1,0,1,0,5,2,3.533883542878189,3,35.98870313774608,19233.80852172852,0,8,Authorized,0,0.4142064291055137,0
CLM0000046,POL001364,40,F,Divorced,Skilled,42,1190.8927084582601,Comprehensive,2500,1,14669.99995375445,Truck,8537.311720258182,Theft,Major,Rural,1,1,1,0,8,4,0.7967552987026623,2,3.2849262002237385,16059.463478648202,1,0,Independent,1,0.6824856953554866,0
